mapped_class,length,width,area,perimeter,aspect_ratio,solidity,circularity,convex_hull_area
Class A,333,431,35496.0,1312.0184577703476,1.2942942942942943,0.7162877985289221,0.25912504472472947,49555.5
Class A,431,332,35506.0,1304.0184559822083,0.7703016241299304,0.7080666068401635,0.26238810112624944,50145.0
Class A,330,431,36187.0,1299.3910409212112,1.3060606060606061,0.7228797730700467,0.2693287455779884,50059.5
Class A,180,562,28239.5,1447.7859194278717,3.1222222222222222,0.7562801285484735,0.16930047238955867,37340.0
Class A,523,114,27543.0,1312.8082176446915,0.2179732313575526,0.8979412196195413,0.20082535022446193,30673.5
Class A,563,175,32528.0,1442.8326015472412,0.3108348134991119,0.7665912518853696,0.19635200105114922,42432.0
Class A,556,252,35319.0,1491.9940696954727,0.45323741007194246,0.6942446043165468,0.19938113727901313,50874.0
Class A,246,556,33041.0,1516.763624072075,2.2601626016260163,0.6822705872635665,0.18047923346265377,48428.0
Class A,556,251,34905.0,1486.9646319150925,0.45143884892086333,0.6841501778731661,0.1983792430629002,51019.5
Class A,349,218,36629.5,1104.4965969324112,0.6246418338108882,0.7301804046646068,0.37732196746919866,50165.0
Class A,217,348,34555.5,1130.9230054616928,1.6036866359447004,0.7075173268086936,0.3395165647759956,48840.5
Class A,347,218,34817.5,1113.4671632051468,0.6282420749279539,0.7116432126396256,0.35290078170868117,48925.5
Class A,218,348,36322.0,1101.5676679611206,1.5963302752293578,0.7281949498290881,0.37614670095305286,49879.5
Class A,217,349,32192.5,1096.4965988397598,1.608294930875576,0.7210208629629214,0.33647282198417616,44648.5
Class A,216,346,35986.5,1126.1534518003464,1.6018518518518519,0.7269118894679433,0.35657782297881974,49506.0
Class A,381,331,34611.5,1221.0651406049728,0.868766404199475,0.7233786862290217,0.29171087450163735,47847.0
Class A,330,365,31870.0,1215.6509252786636,1.106060606060606,0.701464778192303,0.2710030368185007,45433.5
Class A,332,380,34605.0,1242.1362074613571,1.144578313253012,0.7197678771995507,0.2818449611455537,48078.0
Class A,597,146,39283.5,1621.0163680315018,0.24455611390284757,0.6921348908504678,0.18786472387497682,56757.0
Class A,598,146,42126.0,1635.4011449813843,0.24414715719063546,0.7167089167531517,0.19792993976249626,58777.0
Class A,142,596,29956.5,1517.1341180801392,4.197183098591549,0.6899955085165437,0.1635509174064701,43415.5
Class A,350,333,32681.0,1162.8224972486496,0.9514285714285714,0.7228390692736442,0.3037234678686786,45212.0
Class A,332,365,35447.0,1216.9057558774948,1.0993975903614457,0.7150248615719775,0.30079835626951873,49574.5
Class A,351,333,33319.5,1168.923001050949,0.9487179487179487,0.7242110067814294,0.3064337041298707,46008.0
Class A,357,189,36857.5,1059.785920381546,0.5294117647058824,0.748193333603995,0.4123817595071967,49262.0
Class A,356,188,35928.5,1063.3006381988525,0.5280898876404494,0.736639773647575,0.39933447127995153,48773.5
Class A,188,359,31727.5,1095.928055047989,1.9095744680851063,0.7013617171784159,0.3319568442729709,45237.0
Class A,596,208,36038.5,1533.5849087238312,0.348993288590604,0.7090215135209578,0.19255771247693537,50828.5
Class A,203,547,32866.5,1419.0996292829514,2.6945812807881775,0.7390214287320397,0.20508672442477205,44473.0
Class A,595,207,34692.0,1554.1706956624985,0.34789915966386553,0.6930637685791913,0.1804852726410564,50056.0
Class A,427,311,34568.0,1359.8763202428818,0.7283372365339579,0.6972166196046793,0.23490123198435606,49580.0
Class A,427,308,34332.5,1286.1778396368027,0.7213114754098361,0.6850674940886552,0.26080339925207485,50115.5
Class A,428,310,32951.0,1261.7341892719269,0.7242990654205608,0.7092642817168195,0.2601014184027491,46458.0
Class A,183,349,35532.0,1092.5382293462753,1.907103825136612,0.7222905465152917,0.3740728879722361,49193.5
Class A,349,183,35642.0,1093.22451877594,0.5243553008595988,0.7200476772492651,0.37475997643019454,49499.5
Class A,160,346,31425.0,1067.1412599086761,2.1625,0.7104584915897992,0.3467698469955551,44232.0
Class A,160,346,31233.0,1059.9696859121323,2.1625,0.7083597931597568,0.3493306364482326,44092.0
Class A,346,161,31565.0,1068.111820936203,0.4653179190751445,0.7111076066999336,0.34768200600259713,44388.5
Class A,161,345,31277.5,1053.8691809177399,2.142857142857143,0.7069959312839059,0.35389016084896974,44240.0
Class A,341,324,33940.5,1177.124012708664,0.9501466275659824,0.7137554676985195,0.3078106638875824,47552.0
Class A,326,340,34346.5,1200.5798577070236,1.0429447852760736,0.7191402937573936,0.2994402979089613,47760.5
Class A,320,341,33669.5,1189.6092958450317,1.065625,0.7138586466803066,0.2989770364373247,47165.5
Class A,345,280,32309.0,1114.396092057228,0.8115942028985508,0.730287173807398,0.326929582195336,44241.5
Class A,280,347,32474.0,1118.052945971489,1.2392857142857143,0.7297364104177434,0.32645318478532603,44501.0
